Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"scrollToText(""Log In"")",,,,2023-04-30 01:41:58,2023-04-30 01:42:02,"3,518s",PASSED
"tap(findTestObject(""P01-Product/btn-BurgerMenu_login""), 0)",,,,2023-04-30 01:42:02,2023-04-30 01:42:03,"1,228s",PASSED
"setEncryptedText(findTestObject(""P02-Login/editText-passwordLogin""), ""dbXIBZ66cuht4KTRMDozZw=="", 0)",,,,2023-04-30 01:42:03,2023-04-30 01:42:07,"3,982s",PASSED
"tap(findTestObject(""P02-Login/btn-login""), 0)",,,,2023-04-30 01:42:07,2023-04-30 01:42:08,"0,884s",PASSED
"verifyElementText(findTestObject(""P02-Login/textView-UsernameError""), ""Username is required"")",,,,2023-04-30 01:42:08,2023-04-30 01:42:10,"1,533s",PASSED
closeApplication(),,,,2023-04-30 01:42:10,2023-04-30 01:42:14,"4,705s",PASSED
,,,,,,,
Test Cases/SK01-Login/Negative_Case/TC009-LoginEmptyPassword,,,,2023-04-30 01:42:14,2023-04-30 01:43:28,"1m - 13,967s",PASSED
"startApplication(""E:\Android-MyDemoAppRN.1.2.0.build-231_2.apk"", true)",,,,2023-04-30 01:42:16,2023-04-30 01:43:10,"54,084s",PASSED
"tap(findTestObject(""P01-Product/btn-burgerMenu""), 0)",,,,2023-04-30 01:43:10,2023-04-30 01:43:12,"1,625s",PASSED
"scrollToText(""Log In"")",,,,2023-04-30 01:43:12,2023-04-30 01:43:15,"3,314s",PASSED
"tap(findTestObject(""P01-Product/btn-BurgerMenu_login""), 0)",,,,2023-04-30 01:43:15,2023-04-30 01:43:17,"1,378s",PASSED
"setText(findTestObject(""P02-Login/editText-usernameLogin""), ""bob@example.com"", 0)",,,,2023-04-30 01:43:17,2023-04-30 01:43:21,"4,726s",PASSED
"tap(findTestObject(""P02-Login/btn-login""), 0)",,,,2023-04-30 01:43:21,2023-04-30 01:43:22,"0,961s",PASSED
"verifyElementText(findTestObject(""P02-Login/textView-passwordError""), ""Password is required"")",,,,2023-04-30 01:43:22,2023-04-30 01:43:24,"1,426s",PASSED
closeApplication(),,,,2023-04-30 01:43:24,2023-04-30 01:43:28,"4,516s",PASSED
