Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01-Positive_Login,,,,2023-04-29 23:19:56,2023-04-29 23:22:42,"2m - 45,884s",PASSED
,,,,,,,
Test Cases/SK01-Login/Positive Case/TC002-Login_Registered_User,,,,2023-04-29 23:19:57,2023-04-29 23:21:26,"1m - 29,083s",PASSED
"startApplication(""E:\Android-MyDemoAppRN.1.2.0.build-231_2.apk"", true)",,,,2023-04-29 23:19:59,2023-04-29 23:21:03,"1m - 4,509s",PASSED
"tap(findTestObject(""P01-Product/btn-burgerMenu""), 0)",,,,2023-04-29 23:21:03,2023-04-29 23:21:06,"2,639s",PASSED
"scrollToText(""Log In"")",,,,2023-04-29 23:21:06,2023-04-29 23:21:10,"3,556s",PASSED
"tap(findTestObject(""P01-Product/btn-BurgerMenu_login""), 0)",,,,2023-04-29 23:21:10,2023-04-29 23:21:11,"1,314s",PASSED
"setText(findTestObject(""P02-Login/editText-usernameLogin""), ""bob@example.com"", 0)",,,,2023-04-29 23:21:11,2023-04-29 23:21:15,"4,136s",PASSED
"setEncryptedText(findTestObject(""P02-Login/editText-passwordLogin""), ""dbXIBZ66cuht4KTRMDozZw=="", 0)",,,,2023-04-29 23:21:15,2023-04-29 23:21:17,"1,505s",PASSED
"tap(findTestObject(""P02-Login/btn-login""), 0)",,,,2023-04-29 23:21:17,2023-04-29 23:21:18,"0,938s",PASSED
"verifyElementText(findTestObject(""P01-Product/textView-titleProductPage""), ""Products"")",,,,2023-04-29 23:21:18,2023-04-29 23:21:20,"2,873s",PASSED
closeApplication(),,,,2023-04-29 23:21:20,2023-04-29 23:21:26,"6,042s",PASSED
,,,,,,,
Test Cases/SK01-Login/Positive Case/TC003-Login_Locked_User,,,,2023-04-29 23:21:26,2023-04-29 23:22:42,"1m - 15,683s",PASSED
"startApplication(""E:\Android-MyDemoAppRN.1.2.0.build-231_2.apk"", true)",,,,2023-04-29 23:21:28,2023-04-29 23:22:23,"54,977s",PASSED
"tap(findTestObject(""P01-Product/btn-burgerMenu""), 0)",,,,2023-04-29 23:22:23,2023-04-29 23:22:24,"1,643s",PASSED
"scrollToText(""Log In"")",,,,2023-04-29 23:22:24,2023-04-29 23:22:28,"3,354s",PASSED
"tap(findTestObject(""P01-Product/btn-BurgerMenu_login""), 0)",,,,2023-04-29 23:22:28,2023-04-29 23:22:29,"1,292s",PASSED
"setText(findTestObject(""P02-Login/editText-usernameLogin""), ""alice@example.com"", 0)",,,,2023-04-29 23:22:29,2023-04-29 23:22:34,"4,630s",PASSED
"setEncryptedText(findTestObject(""P02-Login/editText-passwordLogin""), ""dbXIBZ66cuht4KTRMDozZw=="", 0)",,,,2023-04-29 23:22:34,2023-04-29 23:22:35,"1,484s",PASSED
"tap(findTestObject(""P02-Login/btn-login""), 0)",,,,2023-04-29 23:22:35,2023-04-29 23:22:36,"0,890s",PASSED
"verifyElementText(findTestObject(""P02-Login/textView-warningLockedUser""), ""Sorry, this user has been locked out."")",,,,2023-04-29 23:22:36,2023-04-29 23:22:37,"1,460s",PASSED
closeApplication(),,,,2023-04-29 23:22:37,2023-04-29 23:22:42,"4,665s",PASSED
